station_name,street_address,city,state,zip_code,latitude,longitude,access_code,facility_type,network,connector_types,level1_count,level2_count,dc_fast_count,pricing,hours,date_last_confirmed,updated_at,station_phone,owner_type,federal_agency,open_date,cards_accepted,bd_blends,groups_with_access_code,hydrogen_standards,maximum_vehicle_class,country,intersection_directions,plus4
Port of San Diego - Admin Building,3165 Pacific Hwy,San Diego,CA,92101,32.735306,-117.176837,public,OFFICE_BLDG,Non-Networked,['J1772'],0,1,0,Free,8am-5pm daily,2023-06-12,2024-01-31T22:07:01Z,,LG,,2014-10-01,,,Public,,MD,US,,
Allen Construction,201 N Milpas St,Santa Barbara,CA,93103,34.423434,-119.68182,public,OFFICE_BLDG,Non-Networked,['J1772'],0,3,0,Free,"8am-5pm M-F; employee use prioritized, call to register with front desk before arrival; maximum 3 hours",2023-06-12,2024-01-31T22:07:01Z,805-884-8777,P,,2013-02-21,,,Public - Call ahead,,LD,US,,
Fort Mason,Building 32,San Francisco,CA,94123,37.8067536,-122.4310408,private,NATL_PARK,Non-Networked,['J1772'],0,2,0,Free,Employee use only,2025-01-13,2025-02-12T00:16:32Z,,FG,"{'id': 16, 'code': 'DOI', 'name': 'Department of the Interior'}",2016-01-27,,,Private,,,US,,
Golden Gate National Recreation Area - Stinson Beach,4900 Shoreline Highway 1,Stinson Beach,CA,94970,37.896506,-122.639414,public,NATL_PARK,Non-Networked,['J1772'],0,4,0,Free,Park hours; 4 hour limit,2025-01-13,2025-02-12T00:16:32Z,,FG,"{'id': 16, 'code': 'DOI', 'name': 'Department of the Interior'}",2016-03-01,,,Public,,LD,US,,
Tahoe City Public Utility District,221 Fairway Dr,Tahoe City,CA,96145,39.166653,-120.14823,public,UTILITY,Non-Networked,['J1772'],0,1,0,Free,24 hours daily,2025-05-12,2025-05-12T16:15:59Z,530-583-3796,T,,2011-10-24,,,Public,,,US,,
US Hybrid Headquarters,445 Maple Ave,Torrance,CA,90501,33.844753,-118.340521,private,OFFICE_BLDG,Non-Networked,"['J1772', 'J1772COMBO']",0,3,1,Free,Available to the public after business hours; 5pm-8am,2022-01-10,2023-02-15T22:45:41Z,,P,,2015-06-01,,,Private,,,US,,
Quail Hill Shopping Center,6601 Quail Hill Pkwy,Irvine,CA,92620,33.65408,-117.778087,public,SHOPPING_CENTER,Non-Networked,"['CHADEMO', 'J1772COMBO']",0,0,1,Level 2: $1 per hour; DC fast: $5 per hour,24 hours daily,2023-10-12,2024-01-31T22:07:01Z,949-339-1033,P,,2013-10-01,,,TEMPORARILY UNAVAILABLE (Public),,,US,Located by the Starbucks,
Hamilton Landing Parking,3 Hamilton Landing,Novato,CA,94949,38.057367,-122.514066,public,PARKING_LOT,Non-Networked,['J1772'],0,2,0,$0.26 per kWh,24 hours Sat-Sun,2025-05-12,2025-06-10T17:49:05Z,415-884-9977,P,,2015-08-01,,,Public,,LD,US,,
Hamilton Landing Parking,5 Hamilton Landing,Novato,CA,94949,38.058125,-122.513464,public,PARKING_LOT,Non-Networked,['J1772'],0,2,0,$0.26 per kWh,24 hours Sat-Sun,2025-05-12,2025-06-10T17:49:21Z,415-884-9977,P,,2015-08-01,,,Public,,LD,US,,
Hamilton Landing Parking,7 Hamilton Landing,Novato,CA,94949,38.059185,-122.514276,public,PARKING_LOT,Non-Networked,['J1772'],0,2,0,$0.26 per kWh,24 hours Sat-Sun,2025-05-12,2025-06-10T17:49:34Z,415-884-9977,P,,2015-08-01,,,Public,,LD,US,,
Delano Regional Medical Center,1401 Garces Hwy,Delano,CA,93215,35.761418,-119.238878,private,HOSPITAL,Non-Networked,['J1772'],0,2,0,Free,Employee use only,2025-05-12,2025-05-12T16:15:59Z,,P,,2014-10-01,,,Private,,LD,US,,
CalPERS,400 Q St,Sacramento,CA,95811,38.574402,-121.50487,public,PAY_GARAGE,Non-Networked,,51,0,0,,Garage business hours; Drivers must bring their own J1772 cordset for Level 1 charging,2023-01-10,2025-05-05T18:28:02Z,916-795-2446,P,,2011-07-27,,,Public,,LD,US,,
City of Sacramento - City Hall,915 I St,Sacramento,CA,95814,38.581912,-121.493562,private,MUNI_GOV,Non-Networked,['J1772'],0,8,0,,Government use only,2025-06-06,2025-06-06T18:42:11Z,,LG,,2016-04-01,,,Private - Government only,,LD,US,,
Marymount College at San Pedro,1600 Palos Verdes Dr N,San Pedro,CA,90710,33.778534,-118.304449,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,1,0,Free,24 hours daily; employee and student use only,2023-10-12,2024-01-31T22:07:01Z,310-377-5501,P,,2013-03-04,,,Public,,LD,US,Located on the side of the administration building,
Caltrans - District 10,1604 S B St,Stockton,CA,95206,37.941191,-121.257382,private,STATE_GOV,Non-Networked,['J1772'],0,1,0,,State vehicle and employee use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2017-07-24,,,Private,,LD,US,Regional Maintenance Facility,
Caltrans - District 10,1976 MLK Jr Blvd,Stockton,CA,95205,37.94221,-121.259655,private,STATE_GOV,EV Connect,['J1772'],0,7,0,,State vehicle and employee use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2014-11-01,,,Private,,LD,US,,
GeoVera Holdings,1455 Oliver Rd,Fairfield,CA,94534,38.258821,-122.069527,private,OFFICE_BLDG,Non-Networked,['J1772'],0,2,0,,Employee use only,2022-08-10,2023-02-15T22:45:41Z,,P,,2015-11-01,,,Private,,LD,US,Located behind the bank,
Caltrans - District 1,3290 N State St,Ukiah,CA,95482,39.193798,-123.206795,private,STATE_GOV,Non-Networked,['J1772'],0,2,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-12-01,,,Private,,LD,US,,
Caltrans - District 3,9 9th St,Marysville,CA,95901,39.145498,-121.583959,private,STATE_GOV,Non-Networked,['J1772'],0,2,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-07-01,,,Private,,LD,US,Located at 9th and Yuba carpool Lot,
Caltrans - District 3,1403 Furneaux Rd,Olivehurst,CA,95961,39.10746,-121.564815,private,STATE_GOV,Non-Networked,['J1772'],0,1,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-06-01,,,Private,,LD,US,,
"Caltrans - District 3, Management Center",3165 Gold Valley Dr,Rancho Cordova,CA,95742,38.587084,-121.261844,private,STATE_GOV,EV Connect,['J1772'],0,34,0,Free,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2017-07-24,,,Private,,LD,US,Transportation Management Center,
Caltrans - District 4,111 Grand Ave,Oakland,CA,94612,37.810953,-122.26492,private,PARKING_GARAGE,Non-Networked,['J1772'],0,1,0,,Employee and state vehicle use only,2023-06-12,2025-09-08T15:23:49Z,,SG,,2015-05-01,,,Private,,LD,US,Parking Garage,
Caltrans - District 4,2616 N Main St,Walnut Creek,CA,94597,37.919658,-122.063733,private,STATE_GOV,Non-Networked,['J1772'],0,1,0,,State vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-05-01,,,Private,,,US,Maintenance Station,
Caltrans - District 4,3401 Regatta Blvd,Richmond,CA,94804,37.918214,-122.336768,private,STATE_GOV,Non-Networked,['J1772'],0,4,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-06-01,,,Private,,LD,US,Construction Field Office,
Caltrans - District 4,1007 Knox Ave,San Jose,CA,95122,37.337632,-121.848214,private,STATE_GOV,Non-Networked,['J1772'],0,2,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-06-01,,,Private,,LD,US,Construction Field Office,
Caltrans - District 5,50 Higuera St,San Luis Obispo,CA,93401,35.267039,-120.671467,private,MOTOR_POOL,Non-Networked,['J1772'],0,3,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-05-01,,,Private,,LD,US,Auto Pool Barn,
Caltrans - District 6,3240 N Millbrook Ave,Fresno,CA,93726,36.78019,-119.763319,private,STATE_GOV,Non-Networked,['J1772'],0,1,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-05-01,,,Private,,LD,US,Located in the back parking lot,
Caltrans - District 6,15337 Avenue 296,Visalia,CA,93292,36.326723,-119.230845,private,STATE_GOV,Non-Networked,['J1772'],0,4,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-05-01,,,Private,,LD,US,"One at shop and one at Maintenance Office, located in the back parking lot",
Caltrans - District 6,1226 Olive Dr,Bakersfield,CA,93308,35.412288,-119.045373,private,STATE_GOV,Non-Networked,['J1772'],0,2,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-05-01,,,Private,,LD,US,,
Caltrans - District 6,2015 E Shields Ave,Fresno,CA,93703,36.779877,-119.787778,private,STATE_GOV,Non-Networked,['J1772'],0,1,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-07-01,,,Private,,LD,US,Located at Manchester Center in underground secure parking,
Caltrans - District 6,455 S Lemoore Ave,Lemoore,CA,93245,36.292683,-119.780841,private,STATE_GOV,Non-Networked,['J1772'],0,2,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-05-01,,,Private,,LD,US,,
Caltrans - District 6,805 S Lexington St,Delano,CA,93215,35.750383,-119.24074,private,STATE_GOV,Non-Networked,['J1772'],0,2,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-05-01,,,Private,,LD,US,,
Caltrans - District 8,464 W 4th St,San Bernardino,CA,92401,34.106667,-117.293499,private,STATE_GOV,EV Connect,['J1772'],0,3,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2018-01-07,,,Private,,,US,,
Caltrans - District 32,1920 35th St,Sacramento,CA,95816,38.56086,-121.46453,private,STATE_GOV,Non-Networked,['J1772'],0,1,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-05-01,,,Private,,LD,US,Located in shipping and receiving parking by 35th street,
Caltrans - District 5,66 Madonna Rd,San Luis Obispo,CA,93401,35.267603,-120.671516,private,STATE_GOV,Non-Networked,['J1772'],0,2,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-11-01,,,Private,,LD,US,,
Caltrans - Bandini Maintenance Station,7301 E Slauson,Commerce,CA,90040,33.9811615,-118.1319804,private,STATE_GOV,EV Connect,['J1772'],0,10,0,,Employee and state vehicle use only; Also accepts PayPal,2024-01-09,2025-09-08T15:23:49Z,,SG,,2018-10-19,A D M V,,Private - Credit card at all times,,LD,US,,
Caltrans - District 32,120 Rickard St,San Francisco,CA,94134,37.73345,-122.409883,private,STATE_GOV,EV Connect,['J1772'],0,10,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2017-12-04,,,Private,,LD,US,,
Caltrans - District 32,6010 Monterey Rd,San Jose,CA,95138,37.239249,-121.774961,private,STATE_GOV,Non-Networked,['J1772'],0,4,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2017-12-04,,,Private,,LD,US,,
Caltrans - District 32,2019 W Texes,Fairfield,CA,94533,38.248979,-122.06363,private,STATE_GOV,Non-Networked,['J1772'],0,4,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-12-01,,,Private,,LD,US,,
Caltrans - District 32-30,1385 N West Ave,Fresno,CA,93728,36.761301,-119.827264,private,STATE_GOV,Non-Networked,['J1772'],0,8,0,,Employee and state vehicle use only,2023-06-12,2025-09-08T15:23:49Z,,SG,,2015-05-01,,,Private,,LD,US,,
"Caltrans - District 59, HQ Lab",5900 Folsom Blvd,Sacramento,CA,95819,38.55599,-121.43528,private,STATE_GOV,EV Connect,['J1772'],0,10,0,,Employee and state vehicle use only; Also accepts PayPal,2024-01-09,2025-09-08T15:23:49Z,,SG,,2018-10-19,A D M V,,Private,,LD,US,,
California State University - Long Beach - Parking Structure 1,1250 N Bellflower Blvd,Long Beach,CA,90840,33.78429,-118.12098,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,2,0,,24 hours daily; pay lot; 4 hour time limit,2025-01-13,2025-02-12T00:16:32Z,562-985-4146,P,,2013-09-30,,,Public,,LD,US,Building 91,
California State University - Long Beach - Parking Structure 2,1250 Bellflower Blvd,Long Beach,CA,90840,33.786682,-118.109671,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,1,0,,24 hours daily,2024-07-11,2025-02-12T00:16:32Z,562-985-4146,P,,2013-09-30,,,Public,,LD,US,Building 91,
Caltrans - Headquarters,3400 R St,Sacramento,CA,95816,38.563247,-121.465454,private,STATE_GOV,Non-Networked,['J1772'],0,2,0,,Employee and state vehicle use only,2024-01-09,2025-09-08T15:23:49Z,,SG,,2015-07-01,,,Private,,LD,US,"Located in the southwest corner of the 34th street parking lot, Equipment Shop",
San Diego Gas and Electric - Metro,735 33rd St,San Diego,CA,92102,32.713145,-117.120837,private,UTILITY,Non-Networked,['J1772'],0,6,0,,Employee use only,2024-09-12,2025-02-12T00:16:32Z,,P,,2015-06-01,,,Private,,LD,US,,
Fuse Project,140116th St,San Francisco,CA,94103,37.7660567,-122.401169,private,OFFICE_BLDG,Non-Networked,['J1772'],0,2,0,,,2024-08-15,2025-02-12T00:16:32Z,,P,,2014-08-01,,,Private,,,US,,
UC San Diego Health System - Chancellor Park,4510 Executive Dr,San Diego,CA,92121,32.8761269,-117.211,public,HOSPITAL,Non-Networked,['J1772'],0,2,0,,24 hours daily,2023-05-03,2024-01-31T22:07:01Z,619-294-3746,P,,2016-01-25,,,Public,,LD,US,,
Peñasquitos Transit Station,13538 Sabre Springs Pkwy,San Diego,CA,92128,32.9621984,-117.0921177,public,TRAVEL_CENTER,Non-Networked,['J1772'],0,10,0,,24 hours daily,2025-01-13,2025-02-12T00:16:32Z,619-557-4555,P,,2016-01-25,,,TEMPORARILY UNAVAILABLE (Public),,LD,US,,
Oak Glen Preserve,39611 Oak Glen Rd,Oak Glen,CA,92399,34.039816,-116.941481,public,PARK,Non-Networked,['J1772'],0,1,0,Free,8am-4:30pm daily; maximum stay of 2 hours,2025-06-06,2025-06-06T18:42:11Z,909-797-8507,P,,2016-01-15,,,Public,,,US,,
City of Placentia - Civic Center,401 E Chapman Ave,Placentia,CA,92870,33.871884,-117.862009,public,MUNI_GOV,Non-Networked,['J1772'],0,2,0,Free,8am-6pm M-F; 2 hour limit,2024-07-11,2025-02-12T00:16:32Z,714-993-8131,LG,,2016-02-16,,,Public,,LD,US,,
Cache Creek Casino,14455 CA 16,Brooks,CA,95606,38.732886,-122.143539,public,OTHER_ENTERTAINMENT,Non-Networked,"['J1772', 'TESLA']",0,6,0,Free,24 hours daily,2024-07-11,2025-02-12T00:16:32Z,530-796-3118,P,,2016-03-01,,,Public,,LD,US,,
United Parcel Service,1800 N Main St,Los Angeles,CA,90031,34.064532,-118.222392,private,STANDALONE_STATION,Non-Networked,['J1772'],0,6,0,,,2024-12-10,2025-06-06T18:39:50Z,,P,,2016-03-01,,,Private,,,US,,
United Parcel Service,3800 Sillect Ave,Bakersfield,CA,93308,35.394649,-119.034205,private,FLEET_GARAGE,Non-Networked,['J1772'],0,10,0,,,2024-07-11,2025-06-06T18:41:23Z,,P,,2016-03-01,,,Private,,,US,,
United Parcel Service,17115 S Western Ave,Gardena,CA,90247,33.875663,-118.309806,private,FLEET_GARAGE,Non-Networked,['J1772'],0,10,0,,,2025-06-06,2025-06-06T18:42:11Z,,P,,2016-03-01,,,Private,,,US,,
United Parcel Service,1380 Shore St,Sacramento,CA,95691,38.571532,-121.54739,private,FLEET_GARAGE,Non-Networked,['J1772'],0,10,0,,,2025-06-06,2025-06-06T18:42:11Z,,P,,2016-03-01,,,Private,,,US,,
United Parcel Service,1400 Hil-Mor Dr,Ceres,CA,95307,37.598952,-120.972133,private,FLEET_GARAGE,Non-Networked,['J1772'],0,10,0,,,2025-06-06,2025-06-06T18:42:11Z,,P,,2016-03-01,,,Private,,MD,US,,
United Parcel Service,1601 W McKinley Ave,Fresno,CA,93728,36.763773,-119.831517,private,FLEET_GARAGE,Non-Networked,['J1772'],0,10,0,,,2025-06-06,2025-06-06T18:42:11Z,,P,,2016-03-01,,,Private,,,US,,
United Parcel Service,22 Brookline Dr,Laguna Hills,CA,92656,33.590023,-117.730359,private,FLEET_GARAGE,Non-Networked,['J1772'],0,2,0,,,2025-06-06,2025-06-06T18:42:11Z,,P,,2016-03-01,,,Private,,,US,,
United Parcel Service,1457 E Victoria Ave,San Bernardino,CA,92408,34.074295,-117.255657,private,FLEET_GARAGE,Non-Networked,['J1772'],0,100,0,,,2025-06-06,2025-06-06T18:42:11Z,,P,,2016-03-01,,,Private,,MD,US,,
Adelaide Inn,1215 Ysabel St,Paso Robles,CA,93446,35.640982,-120.687792,public,HOTEL,Non-Networked,['J1772'],0,1,0,Free,24 hours daily; for guest use only; see front desk for access,2024-07-11,2025-02-12T00:16:32Z,805-238-2770,P,,2016-01-01,,,Public,,LD,US,,
Bonanza King Resort,475 Coffee Creek Rd,Coffee Creek,CA,96091,41.08459428950268,-122.718496665329,public,HOTEL,Non-Networked,['J1772'],0,1,0,Free,24 hours daily; see front desk for access,2025-01-13,2025-02-12T00:16:32Z,530-266-3305,P,,2016-03-01,,,Public - Call ahead,,LD,US,,
City of Woodland - Community Center,2001 East St,Woodland,CA,95776,38.6528,-121.76,private,REC_SPORTS_FACILITY,Non-Networked,['J1772'],0,1,0,,City fleet use only,2024-12-10,2025-02-12T00:16:32Z,,LG,,2016-09-01,,,Private,,,US,North parking lot of Community Center,
City of Woodland - Public Parking,435 Court St,Woodland,CA,95695,38.67938,-121.77506,public,PARKING_LOT,Non-Networked,['J1772'],0,4,0,Free,24 hours daily,2024-12-10,2025-02-12T00:16:32Z,530-661-2059,LG,,2016-09-01,,,Public,,,US,NW corner of Court and College Streets,
Chula Vista Ford,560 Auto Park Dr,Chula Vista,CA,91911,32.593786,-117.030544,private,CAR_DEALER,Non-Networked,['CHADEMO'],0,0,1,,Service center use only,2023-06-12,2024-01-31T22:07:01Z,619-656-2500,P,,2017-04-28,,,Private,,LD,US,Two chargers located on the Ford side and two chargers located on the Kia side,
Coronado Golf Course,2000 Visalia Row,Coronado,CA,92118,32.684762,-117.166005,public,,OpConnect,['J1772'],0,3,0,,24 hours daily,2025-10-02,2025-10-02T03:58:49Z,855-885-9571,,,2016-04-01,,,Public,,,US,,
701 Gateway - San Francisco,701 Gateway Blvd,South San Francisco,CA,94080,37.660128,-122.397626,public,,OpConnect,['J1772'],0,4,0,,24 hours daily,2025-10-02,2025-10-02T03:58:50Z,855-885-9571,,,2016-04-01,,,Public,,,US,,
Selma Nissan,2525 Highland Ave,Selma,CA,93662,36.570975,-119.629736,public,CAR_DEALER,Non-Networked,['J1772'],0,2,0,Free,Dealership hours,2024-02-12,2025-02-12T00:16:32Z,559-891-2702,P,,2019-08-19,,,Public - Call ahead,,LD,US,,
California State University - Northridge,18111 Nordhoff St,Northridge,CA,91330,34.235503,-118.527753,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,2,0,Free,24 hours daily; parking permit required,2023-10-12,2024-01-31T22:07:01Z,818-677-1200,P,,2016-05-01,,,Public,,LD,US,Lot E5; Located on the east side of Jacaranda Hall,
California State University - San Bernardino,5500 University Pkwy,San Bernardino,CA,92407,34.1827,-117.323997,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,3,0,Free,24 hours daily; permit required,2023-05-03,2024-01-31T22:07:01Z,909-537-5912,P,,2016-02-01,,,Public,,LD,US,Located in the east & west parking structure (level 1),
California State University - Stanislaus,1 University Cir,Turlock,CA,95382,37.524248,-120.851941,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,2,0,Free,24 hours daily; parking permit required,2025-06-06,2025-06-06T18:42:11Z,209-667-3114,P,,2016-02-01,,,Public,,LD,US,Located in Lot 8,
California State University - Stanislaus,1 University Cir,Turlock,CA,95382,37.52251652757602,-120.8554698981476,public,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,2,0,Free,24 hours daily; parking permit required,2025-06-06,2025-06-06T18:42:11Z,209-667-3114,P,,2016-02-01,,,Public,,LD,US,Located in Lot 11 East,
Tablas Creek Vineyard,9339 Adelaida Rd,Paso Robles,CA,93446,35.63651846055232,-120.8593218928375,public,BREWERY_DISTILLERY_WINERY,Non-Networked,['J1772'],0,1,0,Free,10am-5pm daily,2025-01-13,2025-02-12T00:16:32Z,805-237-1231,P,,2016-05-01,,,Public,,LD,US,,
University of California Los Angeles - Housing Sawtelle Parking Structure,3302 Sawtelle Blvd,Los Angeles,CA,90066,34.021353,-118.426229,private,COLLEGE_CAMPUS,Non-Networked,['J1772'],0,8,0,,For UCLA students at University Village,2023-09-14,2025-04-29T19:53:52Z,,SG,,2016-04-12,,,Private,,,US,"Located in resident parking area, level 1",
Christa McAuliffe Middle School,3880 Iron Canyon Cir,Stockton,CA,95209,38.04508,-121.366808,public,SCHOOL,Non-Networked,['J1772'],0,2,0,$0.59 per kWh,24 hours daily,2025-06-06,2025-06-06T18:42:11Z,209-331-7193,P,,2016-06-20,,,Public,,LD,US,,
Bear Creek High School,10555 Thornton Rd,Stockton,CA,95209,38.051545,-121.351267,public,SCHOOL,Non-Networked,['J1772'],0,2,0,$0.59 per kWh,24 hours daily,2025-06-06,2025-06-06T18:42:11Z,209-331-7193,P,,2016-06-20,,,Public,,LD,US,,
LADWP - Van Nuys Payment Center,6550 Van Nuys Blvd,Los Angeles,CA,91405,34.18993277467182,-118.4481874,public,UTILITY,Non-Networked,"['CHADEMO', 'J1772', 'J1772COMBO']",0,14,4,Free,24 hours daily,2023-09-14,2025-08-18T15:54:31Z,800-342-5397,T,,2016-02-01,,,Public,,LD,US,,
Alma Street Parking,355 Alma St,Palo Alto,CA,94301,37.444686,-122.165349,public,STREET_PARKING,Non-Networked,['CHADEMO'],0,0,1,Free,24 hours daily; 2 hours max,2023-09-14,2024-01-31T22:07:01Z,650-324-3121,P,,2016-03-01,,,Public,,LD,US,,
LADWP - Joint Service Center,1230 W 3rd St,Los Angeles,CA,90017,34.057008,-118.259212,public,UTILITY,Non-Networked,['CHADEMO'],0,0,1,Free,24 hours daily,2024-01-09,2025-08-18T15:54:31Z,,T,,2016-03-01,,,Public,,LD,US,,
LA County ISD Monrovia Fleet,1703 Mountain Ave,Monrovia,CA,91016,34.133361,-117.987274,private,FLEET_GARAGE,POWERFLEX,['J1772'],0,2,0,$0.45 per kWh from 4pm-9pm; $0.30 per kWh all other times,7am-4pm daily,2025-05-12,2025-05-12T16:15:59Z,,LG,,2016-05-26,Proprietor,,Private,,LD,US,,
LA County DHS MLK MRI,1670 E 120th St,Los Angeles,CA,90059,33.923391,-118.240101,public,HOSPITAL,POWERFLEX,['J1772'],0,2,0,$0.45 per kWh from 4pm-9pm; $0.30 per kWh all other times,24 hours daily,2025-05-12,2025-05-12T16:15:59Z,833-479-7359,LG,,2020-08-11,Proprietor,,Public,,LD,US,MLK MRI Lot,
LA County DHS Pomona,750 S Park,Pomona,CA,91766,34.052737,-117.753867,private,HOSPITAL,POWERFLEX,['J1772'],0,2,0,$0.45 per kWh from 4pm-9pm; $0.30 per kWh all other times,6am-6pm M-F; keypad activated; instructions on charging unit,2025-05-12,2025-05-12T16:15:59Z,,LG,,2017-03-30,,,Private,,LD,US,Located behind the building,
LA County Fire Communication,1320 N Eastern Ave,Los Angeles,CA,90063,34.052263,-118.172222,private,MUNI_GOV,Non-Networked,['J1772'],0,6,0,$0.45 per kWh from 4pm-9pm; $0.30 per kWh all other times,Employee Use Only,2024-01-09,2025-02-26T17:46:29Z,,LG,,2017-11-30,Proprietor,,Private,,LD,US,Located at the northwestern edge of parking lot,
Artemedica,1002 Mendocino Ave,Santa Rosa,CA,95401,38.449962,-122.717135,public,OFFICE_BLDG,Non-Networked,['J1772'],0,4,0,$1 per hour,24 hours daily; customer use only,2025-06-06,2025-06-06T18:42:11Z,707-577-8292,P,,2016-07-07,,,Public,,LD,US,Nason St,
Quality Inn,1010 E Prosperity Ave,Tulare,CA,93274,36.225598,-119.333601,public,HOTEL,Non-Networked,['CHADEMO'],0,0,1,Minimum payment of $5; Maximum payment of $15; Maximum session time of 1 hour,24 hours daily,2023-06-12,2024-01-31T22:07:01Z,877-676-6266  559-686-3432,P,,2016-06-15,A Cash Checks D M V,,Public,,LD,US,,
Naval Exchange - Naval Base - Coronado - Naval Air Station - North Island,Bldg 2017,Coronado,CA,92135,32.701602,-117.184216,private,MIL_BASE,Non-Networked,['J1772'],0,2,0,,,2025-01-13,2025-02-12T00:16:32Z,,FG,"{'id': 14, 'code': 'DON', 'name': 'Department of Navy'}",2016-08-15,,,Private,,,US,,
Defense Logistics Agency - Defense Distribution Center - Tracy Site,25600 S Chrisman Rd,Tracy,CA,95376,37.724623,-121.398169,private,MIL_BASE,Non-Networked,['J1772'],0,1,0,,,2025-01-13,2025-02-12T00:16:32Z,,FG,"{'id': 29, 'code': 'DOD', 'name': 'U.S. Department of Defense'}",2016-08-15,,,Private - Government only,,,US,,
International Brotherhood of Electrical Workers 569,4545 Viewridge Ave,San Diego,CA,92123,32.822918,-117.124015,public,OFFICE_BLDG,Non-Networked,['J1772'],0,3,0,Free,8am-8:30pm M-F; Employee and visitor use only; 2 hour limit,2024-05-09,2025-02-12T00:16:32Z,858-569-6633,P,,2016-08-01,,,Public,,LD,US,,
Vallejo City Hall,555 Santa Clara St,Vallejo,CA,94590,38.1022,-122.261,private,MUNI_GOV,Non-Networked,['J1772'],0,2,0,Free,Employee use only,2023-10-12,2025-05-29T20:39:54Z,,LG,,2012-08-29,,,Private,,,US,,
Days Inn,14684 Aloma St,Lost Hills,CA,93249,35.617189,-119.656363,public,HOTEL,Non-Networked,['CHADEMO'],0,0,1,Between $5 and $15 per session; Maximum session time of 1 hour,24 hours daily; for guest use only,2023-09-14,2024-01-31T22:07:01Z,661-214-3739,P,,2016-09-01,A Cash Checks D M V,,Public,,LD,US,,
Taft City Hall,209 E Kern St,Taft,CA,93268,35.140839,-119.448704,public,MUNI_GOV,Non-Networked,['J1772'],0,1,0,Free,24 hours daily,2025-06-06,2025-06-06T18:42:11Z,661-763-1222,LG,,2016-09-14,,,Public,,LD,US,On the east side of the building next to the park,
LADWP - Substation DS-73,14061 Riverside Dr,Sherman Oaks,CA,91423,34.1581031,-118.439442,private,UTILITY,Non-Networked,['CHADEMO'],0,0,1,,,2024-01-09,2025-08-18T15:54:31Z,,LG,,1999-10-15,,,Private - Government only,,,US,,
LADWP - Parthenia,18721 Parthenia St,Northridge,CA,91325,34.2287165,-118.5414324,private,UTILITY,Non-Networked,['J1772'],0,2,0,Free,Fleet use only,2024-01-09,2025-08-18T15:54:31Z,,LG,,1999-10-15,,,Private,,,US,,
LADWP - Crenshaw,4030 Crenshaw Blvd,Los Angeles,CA,90012,34.01223,-118.334323,public,UTILITY,Non-Networked,"['CHADEMO', 'J1772', 'J1772COMBO']",0,16,4,Free,24 hours daily,2024-01-09,2025-08-18T15:54:31Z,800-342-5397,LG,,1999-10-15,,,Public,,LD,US,,
LADWP - Receiving Station B,9615 S Central Ave,Los Angeles,CA,90002,33.9493637,-118.2538307,private,UTILITY,Non-Networked,['J1772'],0,2,0,Free,Fleet use only,2024-01-09,2025-08-18T15:54:31Z,,LG,,1999-10-15,,,Private - Government only,,,US,,
